Element Label,S11,S22,S33,S12,S13,S23,Mises
350,-14179.164,-10951.018,-15034.003,8423.111,13965.511,1747.0034,28653.451171875
351,18156.553,15156.736,47021.047,14436.306,1594.5448,853.04364,39544.62890625
352,88478.22,94416.19,91810.055,-4362.1274,-5543.577,-1039.4594,13382.671875
353,-22702.6,13535.911,-9276.472,-10243.128,-3303.5503,-3126.3826,37199.13671875
354,11322.334,-13505.509,3613.7002,9755.94,3788.7231,-3822.3777,29272.6171875
355,37401.258,32722.662,23345.178,18166.756,5309.1494,3292.996,35508.94921875
356,6993.62,13507.43,-4127.6567,-3514.7668,340.7783,5893.414,19497.705078125
357,16811.48,429.3425,30272.043,-11743.488,6523.422,4858.557,35808.99609375
358,-6734.2197,24319.627,-5876.518,-12782.553,3307.439,-4995.8066,39195.8515625
359,14443.863,-9175.967,30291.998,8204.53,-7013.584,-59.632713,39152.45703125
360,8749.307,9055.338,9490.114,-309.11453,6435.5327,1138.1571,11350.6318359375
361,-23623.629,-24821.906,-16379.425,-4123.6006,4673.3184,-9138.082,20727.771484375
362,-11759.217,4199.7964,-11320.263,-1176.6638,-12073.415,-2007.9553,26484.501953125
363,-9393.461,-5647.6997,-20080.436,-6933.529,5119.629,-11084.284,27562.84375
364,-15936.022,14521.134,-21934.29,-3800.5361,-6965.3633,-2977.2048,36902.3046875
365,-21306.752,2345.3154,-27888.746,3887.4277,1994.1382,-5573.615,30147.67578125
366,33213.254,14905.012,-7591.798,-7007.4614,-1943.2445,2207.052,37768.1171875
367,-2174.5225,-17003.785,-17023.785,5605.2905,6258.0996,-4813.4785,22393.34765625
368,26873.26,22145.85,-634.78894,-1700.5776,2845.632,385.54413,26123.0546875
369,9559.715,-1218.7334,27966.727,70.03812,-2921.5117,2130.408,26317.833984375
370,54128.773,53914.34,53805.41,354.24704,507.09323,961.73773,2000.98168945313
371,6014.168,-11097.266,-26149.848,-6512.54,-6677.5063,-4699.106,33229.56640625
372,60403.875,70246.234,99720.54,-8622.117,1599.2727,1967.0674,38704.09765625
373,-499.58008,-31312.754,-26633.24,-9620.878,-1441.3141,10661.55,38106.1796875
374,26444.045,59409.516,68124.86,-4849.8516,5025.4136,1890.2488,40087.796875
375,-21184.453,-20818.652,-6940.82,-5322.9204,-18235.926,-2171.131,35980.45703125
376,23411.816,54675.902,58187.99,-9948.514,-6092.677,-1150.0427,38882.2421875
377,-26829.223,-7510.7695,-21958.44,-4218.2144,16331.7295,5213.472,35184.203125
378,-13212.473,-12890.174,-34427.848,4666.748,-3755.2407,-11062.408,30525.48828125
379,-2220.412,-5248.935,-12951.914,207.07724,9611.625,4474.698,20716.75390625
380,5603.3486,6682.1646,8726.598,4300.6787,-5158.178,566.5574,11992.498046875
381,-160.60242,-3337.218,-2346.258,-1934.6631,2893.3792,-1307.0139,7028.0537109375
382,-12016.075,-30077.232,-12885.756,10200.326,-9438.71,-10355.682,34819.28125
383,21591.135,44412.33,59940.47,-5059.7397,-3595.483,10336.886,39401.01171875
384,-19298.338,2025.6221,-20056.916,10101.85,2585.5686,-2717.9382,28632.529296875
